longitude; latitude; x; y; z;
-90.000000; -135.000000; 589.970588; 396.531250; 390.441176;
-90.000000; -129.489796; 588.032258; 391.314286; 393.323529;
-90.000000; -123.979592; 586.828571; 387.588235; 394.774194;
-90.000000; -118.469388; 586.117647; 381.419355; 397.285714;
-90.000000; -112.959184; 585.935484; 381.885714; 396.088235;
-90.000000; -107.448980; 589.400000; 384.735294; 395.322581;
-90.000000; -101.938776; 588.000000; 388.774194; 398.914286;
-90.000000; -96.428571; 592.645161; 392.800000; 393.000000;
-90.000000; -90.918367; 590.257143; 386.764706; 397.322581;
-90.000000; -85.408163; 590.600000; 389.666667; 396.200000;
-90.000000; -79.897959; 590.866667; 387.485714; 398.200000;
-90.000000; -74.387755; 591.228571; 398.942857; 396.000000;
-90.000000; -68.877551; 590.142857; 386.433333; 395.314286;
-90.000000; -63.367347; 589.100000; 389.257143; 395.600000;
-90.000000; -57.857143; 591.235294; 392.735294; 395.000000;
-90.000000; -52.346939; 590.085714; 394.468750; 393.666667;
-90.000000; -46.836735; 591.264706; 393.250000; 393.735294;
-90.000000; -41.326531; 590.656250; 395.454545; 395.228571;
-90.000000; -35.816327; 590.062500; 392.914286; 391.090909;
-90.000000; -30.306122; 589.823529; 396.028571; 393.290323;
-90.000000; -24.795918; 589.942857; 393.400000; 393.200000;
-90.000000; -19.285714; 588.933333; 391.942857; 394.400000;
-90.000000; -13.775510; 590.382353; 395.885714; 391.935484;
-90.000000; -8.265306; 590.205882; 393.468750; 389.558824;
-90.000000; -2.755102; 590.515152; 394.181818; 390.911765;
-90.000000; 2.755102; 590.258065; 387.457143; 392.205882;
-90.000000; 8.265306; 591.685714; 391.514286; 392.000000;
-90.000000; 13.775510; 590.228571; 391.433333; 390.942857;
-90.000000; 19.285714; 590.833333; 387.885714; 390.885714;
-90.000000; 24.795918; 591.685714; 398.457143; 392.100000;
-90.000000; 30.306122; 589.735294; 393.451613; 387.914286;
-90.000000; 35.816327; 591.290323; 388.235294; 390.114286;
-90.000000; 41.326531; 587.941176; 391.371429; 387.387097;
-90.000000; 46.836735; 592.885714; 391.968750; 388.969697;
-90.000000; 52.346939; 591.437500; 396.363636; 389.457143;
-90.000000; 57.857143; 589.424242; 394.628571; 389.937500;
-90.000000; 63.367347; 591.088235; 387.393939; 389.212121;
-90.000000; 68.877551; 590.852941; 391.548387; 390.285714;
-90.000000; 74.387755; 591.666667; 390.228571; 388.485714;
-90.000000; 79.897959; 593.914286; 392.657143; 385.300000;
-90.000000; 85.408163; 592.142857; 394.800000; 390.314286;
-90.000000; 90.918367; 594.533333; 393.057143; 389.714286;
-90.000000; 96.428571; 591.939394; 390.657143; 383.406250;
-90.000000; 101.938776; 593.085714; 393.939394; 385.218750;
-90.000000; 107.448980; 594.558824; 382.937500; 387.735294;
-90.000000; 112.959184; 591.612903; 382.171429; 383.205882;
-90.000000; 118.469388; 593.771429; 390.558824; 387.967742;
-90.000000; 123.979592; 593.647059; 385.806452; 385.600000;
-90.000000; 129.489796; 592.250000; 394.176471; 387.264706;
-90.000000; 135.000000; 592.727273; 389.571429; 384.593750;
-85.208333; -135.000000; 593.742857; 395.000000; 387.709677;
-85.208333; -129.489796; 593.000000; 388.437500; 388.088235;
-85.208333; -123.979592; 591.375000; 383.636364; 385.428571;
-85.208333; -118.469388; 594.272727; 386.264706; 394.000000;
-85.208333; -112.959184; 590.764706; 394.823529; 384.812500;
-85.208333; -107.448980; 594.205882; 385.193548; 388.571429;
-85.208333; -101.938776; 591.967742; 386.914286; 385.176471;
-85.208333; -96.428571; 592.058824; 394.514286; 388.129032;
-85.208333; -90.918367; 595.171429; 392.588235; 387.483871;
-85.208333; -85.408163; 593.828571; 407.933333; 390.914286;
-85.208333; -79.897959; 592.205882; 287.176471; 386.718750;
-85.208333; -74.387755; 589.647059; 283.400000; 388.361111;
-85.208333; -68.877551; 591.709677; 252.971429; 389.264706;
-85.208333; -63.367347; 592.485714; 388.303030; 386.625000;
-85.208333; -57.857143; 595.028571; 392.612903; 387.852941;
-85.208333; -52.346939; 590.741935; 385.588235; 387.657143;
-85.208333; -46.836735; 592.628571; 385.735294; 390.322581;
-85.208333; -41.326531; 593.125000; 389.129032; 386.837838;
-85.208333; -35.816327; 596.090909; 391.382353; 388.575758;
-85.208333; -30.306122; 593.531250; 392.352941; 390.058824;
-85.208333; -24.795918; 592.657143; 390.187500; 390.151515;
-85.208333; -19.285714; 588.441176; 376.156250; 390.441176;
-85.208333; -13.775510; 586.483871; 375.911765; 388.800000;
-85.208333; -8.265306; 587.969697; 381.314286; 387.593750;
-85.208333; -2.755102; 590.352941; 378.571429; 385.741935;
-85.208333; 2.755102; 588.685714; 378.290323; 389.441176;
