longitude; latitude; avgY; stdY; avgX; stdX; avgZ; stdZ; 
-5.000000; -5.000000; 599.810000; 25.083978; 676.010000; 23.935306; 1004.750000; 15.400626;
-5.000000; -3.888889; 593.480000; 97.257181; 685.170000; 23.368396; 1010.450000; 14.297966;
-5.000000; -2.777778; 602.610000; 61.414619; 688.030000; 19.421146; 1008.900000; 14.433757;
-5.000000; -1.666667; 595.880000; 23.560916; 695.860000; 23.735929; 1007.850000; 16.645062;
-5.000000; -0.555556; 596.430000; 67.012626; 703.500000; 22.466361; 1009.490000; 14.356567;
-5.000000; 0.555556; 605.650000; 71.254754; 710.790000; 23.268002; 1010.200000; 15.287150;
-5.000000; 1.666667; 591.740000; 82.500642; 712.140000; 24.785961; 1010.900000; 13.475380;
-5.000000; 2.777778; 599.690000; 90.764619; 721.350000; 19.360678; 1007.760000; 14.938338;
-5.000000; 3.888889; 590.080000; 86.409371; 726.020000; 22.681359; 1007.830000; 14.196354;
-5.000000; 5.000000; 596.970000; 36.905682; 731.450000; 20.285525; 1006.790000; 14.397176;
-3.888889; -5.000000; 593.450000; 80.597688; 680.170000; 24.483371; 1007.270000; 16.904279;
-3.888889; -3.888889; 595.850000; 50.781046; 681.010000; 24.273898; 1004.450000; 18.201662;
-3.888889; -2.777778; 599.930000; 83.146245; 684.190000; 26.679048; 1008.680000; 14.132047;
-3.888889; -1.666667; 599.280000; 94.561517; 695.140000; 23.629728; 1008.490000; 13.172895;
-3.888889; -0.555556; 601.400000; 22.201101; 704.110000; 21.102872; 1007.710000; 14.893762;
-3.888889; 0.555556; 607.940000; 63.528697; 704.580000; 24.159897; 1010.060000; 14.932725;
-3.888889; 1.666667; 607.680000; 55.444372; 717.390000; 23.790710; 1006.550000; 17.406823;
-3.888889; 2.777778; 610.490000; 59.276700; 721.700000; 20.000253; 1006.400000; 15.604325;
-3.888889; 3.888889; 607.150000; 76.753886; 728.790000; 20.356070; 1009.850000; 15.467382;
-3.888889; 5.000000; 605.490000; 63.254895; 729.530000; 20.788718; 1006.500000; 16.494566;
-2.777778; -5.000000; 599.570000; 96.569361; 675.230000; 22.766649; 1008.210000; 14.964804;
-2.777778; -3.888889; 606.110000; 47.446492; 681.960000; 21.549998; 1008.980000; 15.527089;
-2.777778; -2.777778; 611.340000; 79.602576; 690.000000; 23.663039; 1008.420000; 14.447523;
-2.777778; -1.666667; 607.430000; 70.206370; 694.350000; 23.157945; 1008.240000; 17.414797;
-2.777778; -0.555556; 609.300000; 66.234432; 704.200000; 25.272255; 1008.950000; 15.759156;
-2.777778; 0.555556; 608.500000; 62.282267; 711.480000; 25.363809; 1008.300000; 16.622669;
-2.777778; 1.666667; 607.810000; 66.532091; 713.640000; 25.342311; 1009.890000; 15.794702;
-2.777778; 2.777778; 606.460000; 102.573888; 717.580000; 24.398700; 1007.330000; 16.825939;
-2.777778; 3.888889; 611.310000; 27.695201; 727.270000; 22.573720; 1006.150000; 16.151664;
-2.777778; 5.000000; 611.400000; 66.554755; 734.100000; 24.799194; 1009.970000; 15.987024;
-1.666667; -5.000000; 613.160000; 74.063816; 679.430000; 26.275639; 1008.800000; 15.411527;
-1.666667; -3.888889; 614.720000; 64.064847; 690.850000; 22.785506; 1008.190000; 15.615128;
-1.666667; -2.777778; 606.170000; 73.647544; 688.490000; 23.690980; 1005.500000; 17.247163;
-1.666667; -1.666667; 618.050000; 50.895491; 695.850000; 26.554451; 1008.630000; 16.701573;
-1.666667; -0.555556; 605.840000; 77.702322; 701.230000; 26.105402; 1007.010000; 16.719006;
-1.666667; 0.555556; 606.920000; 81.436680; 702.190000; 26.347597; 1008.520000; 15.958583;
-1.666667; 1.666667; 610.310000; 77.419713; 714.860000; 23.056374; 1009.970000; 15.720061;
-1.666667; 2.777778; 623.410000; 53.517881; 724.190000; 24.934133; 1008.040000; 16.834860;
-1.666667; 3.888889; 608.290000; 81.431299; 730.090000; 22.255221; 1009.990000; 16.241545;
-1.666667; 5.000000; 616.740000; 26.106472; 730.460000; 23.283245; 1008.040000; 16.238077;
